,statecode,tech,bc_hundred,bc_oneG,bc_ten,bc_twentyfive,blockcode,hundred_fifty,oneG,providername,ten,twentyfive_three,type
0,35,Cable,1041,0,1346,1317,29921,1041.0,0,11,1346.0,1317.0,business
1,35,Fiber,613,0,3916,3850,6524,634.0,0,25,3995.0,3924.0,business
2,35,Fixed Wireless,37712,0,43322,41997,82174,37712.0,0,29,43591.0,41999.0,business
3,35,Other,2,0,425,422,720,2.0,0,18,425.0,422.0,business
4,35,Satellite,0,0,165895,0,165895,0.0,0,3,165895.0,0.0,business
5,35,aDSL,0,0,2375,829,53908,0.0,0,28,2400.0,829.0,business
6,35,Cable,0,0,32877,31776,33057,0.0,0,8,32901.0,31800.0,consumer
7,35,Fiber,1870,0,6578,5641,6715,1870.0,0,17,6626.0,5659.0,consumer
8,35,Fixed Wireless,1,0,23132,17810,83876,1.0,0,28,23139.0,17811.0,consumer
9,35,Other,0,0,2,2,27,0.0,0,4,2.0,2.0,consumer
10,35,Satellite,0,0,165895,0,165895,0.0,0,3,165895.0,0.0,consumer
11,35,aDSL,0,0,33355,16281,57690,0.0,0,22,34511.0,16283.0,consumer
12,35,2G,0,0,0,0,159396,0.0,0,9,0.0,0.0,mobile
13,35,3G,0,0,0,0,159180,0.0,0,9,0.0,0.0,mobile
14,35,4G_LTE,0,0,155624,0,155625,0.0,0,6,448510.0,0.0,mobile
15,35,4G_NON_LTE,0,0,150753,0,150754,0.0,0,4,251371.0,0.0,mobile
0,6,Cable,0,0,9880,9409,383844,0.0,0,28,9896.0,9416.0,business
1,6,Fiber,39693,0,45064,44120,87846,42718.0,0,58,51337.0,49764.0,business
2,6,Fixed Wireless,90701,0,265906,241404,357371,90707.0,0,74,272701.0,244876.0,business
3,6,Other,947,0,32578,14803,50743,1001.0,0,39,38708.0,16269.0,business
4,6,Satellite,0,0,691487,0,704635,0.0,0,4,691487.0,0.0,business
5,6,aDSL,1,0,25620,20380,160942,2.0,0,43,66140.0,40390.0,business
6,6,Cable,0,0,393253,391301,395324,0.0,0,25,402309.0,399375.0,consumer
7,6,Fiber,11934,0,66142,65295,67655,12056.0,0,22,68820.0,67877.0,consumer
8,6,Fixed Wireless,2,0,207382,51925,257324,2.0,0,77,238542.0,58134.0,consumer
9,6,Other,271,0,20193,465,20209,275.0,0,10,20449.0,469.0,consumer
10,6,Satellite,0,0,704635,0,710145,0.0,0,3,1301626.0,0.0,consumer
11,6,aDSL,0,0,221749,191305,400172,0.0,0,24,289224.0,229112.0,consumer
12,6,2G,0,0,0,0,682905,0.0,0,7,0.0,0.0,mobile
13,6,3G,0,0,0,0,686767,0.0,0,7,0.0,0.0,mobile
14,6,4G_LTE,0,0,679001,0,679002,0.0,0,6,2513683.0,0.0,mobile
15,6,4G_NON_LTE,0,0,665608,0,665609,0.0,0,2,1234139.0,0.0,mobile
0,18,Cable,0,0,1628,800,139375,0.0,0,15,1628.0,800.0,business
1,18,Fiber,15627,0,32953,31912,38147,16256.0,0,67,44509.0,43427.0,business
2,18,Fixed Wireless,44874,0,72700,50733,156360,45533.0,0,51,79724.0,51457.0,business
3,18,Other,18390,0,18771,18748,38789,18395.0,0,25,18916.0,18886.0,business
4,18,Satellite,0,0,259425,0,267071,0.0,0,4,259425.0,0.0,business
5,18,aDSL,0,0,864,410,92098,0.0,0,44,911.0,410.0,business
6,18,Cable,0,0,135588,135034,135605,0.0,0,11,142731.0,141920.0,consumer
7,18,Fiber,7691,0,32234,29351,33014,7795.0,0,46,43529.0,40607.0,consumer
8,18,Fixed Wireless,3,0,35451,9678,169674,3.0,0,56,40876.0,9678.0,consumer
9,18,Other,0,0,0,0,2,0.0,0,1,0.0,0.0,consumer
10,18,Satellite,0,0,267071,0,267071,0.0,0,3,526496.0,0.0,consumer
11,18,aDSL,1,0,88693,40052,171656,1.0,0,33,101473.0,42750.0,consumer
12,18,2G,0,0,0,0,266885,0.0,0,8,0.0,0.0,mobile
13,18,3G,0,0,0,0,267052,0.0,0,8,0.0,0.0,mobile
14,18,4G_LTE,0,0,266549,0,266550,0.0,0,5,1015049.0,0.0,mobile
15,18,4G_NON_LTE,0,0,266860,0,266861,0.0,0,2,418586.0,0.0,mobile
0,27,Cable,3355,0,15112,10585,96831,3355.0,0,23,15188.0,10654.0,business
1,27,Fiber,8903,0,23368,22577,45461,9146.0,0,90,24529.0,23702.0,business
2,27,Fixed Wireless,21146,0,120445,119318,157501,21146.0,0,37,151782.0,149616.0,business
3,27,Other,276,0,1276,1083,7883,518.0,0,32,1582.0,1352.0,business
4,27,Satellite,0,0,240553,0,254888,0.0,0,4,240553.0,0.0,business
5,27,aDSL,1,0,23023,19454,152037,1.0,0,92,23841.0,19919.0,business
6,27,Cable,1437,0,93978,89229,94594,1437.0,0,20,98355.0,93034.0,consumer
7,27,Fiber,23369,0,45918,44860,46314,23664.0,0,75,47560.0,46477.0,consumer
8,27,Fixed Wireless,2163,0,93487,88262,157633,2163.0,0,44,129319.0,115654.0,consumer
9,27,Other,242,0,361,360,384,484.0,0,8,604.0,603.0,consumer
10,27,Satellite,0,0,254888,0,259777,0.0,0,3,447800.0,0.0,consumer
11,27,aDSL,0,0,75705,30943,147668,0.0,0,83,86189.0,31240.0,consumer
12,27,2G,0,0,0,0,255321,0.0,0,7,0.0,0.0,mobile
13,27,3G,0,0,0,0,257706,0.0,0,6,0.0,0.0,mobile
14,27,4G_LTE,0,0,253359,0,253360,0.0,0,5,887118.0,0.0,mobile
15,27,4G_NON_LTE,0,0,256825,0,256826,0.0,0,3,353612.0,0.0,mobile
0,29,Cable,60,0,4568,4562,137275,60.0,0,22,4571.0,4563.0,business
1,29,Fiber,33940,0,35714,35543,44438,37598.0,0,59,39905.0,39653.0,business
2,29,Fixed Wireless,23602,0,96982,92091,183996,26545.0,0,58,111716.0,106823.0,business
3,29,Other,536,0,4738,4722,5710,538.0,0,25,4799.0,4777.0,business
4,29,Satellite,0,0,323774,0,343550,0.0,0,4,323774.0,0.0,business
5,29,aDSL,0,0,10402,2923,82784,0.0,0,53,11247.0,3704.0,business
6,29,Cable,0,0,133849,130498,137133,0.0,0,18,136043.0,131920.0,consumer
7,29,Fiber,34853,0,41237,39263,41962,35504.0,0,40,42391.0,40076.0,consumer
8,29,Fixed Wireless,2196,0,63696,35448,204991,2197.0,0,67,66719.0,35490.0,consumer
9,29,Other,0,0,0,0,103,0.0,0,3,0.0,0.0,consumer
10,29,Satellite,0,0,343550,0,343565,0.0,0,3,667276.0,0.0,consumer
11,29,aDSL,0,0,58758,35387,165583,0.0,0,48,61433.0,36183.0,consumer
12,29,2G,0,0,0,0,341257,0.0,0,8,0.0,0.0,mobile
13,29,3G,0,0,0,0,342719,0.0,0,9,0.0,0.0,mobile
14,29,4G_LTE,0,0,337774,0,337775,0.0,0,8,1321368.0,0.0,mobile
15,29,4G_NON_LTE,0,0,336480,0,336481,0.0,0,3,479001.0,0.0,mobile
0,39,Cable,0,0,9088,8453,254262,0.0,0,29,9096.0,8460.0,business
1,39,Fiber,33110,0,39148,37590,53402,35336.0,0,69,43500.0,41479.0,business
2,39,Fixed Wireless,4,0,68739,51478,160106,4.0,0,47,71171.0,51510.0,business
3,39,Other,557,0,1831,1744,5270,561.0,0,35,1908.0,1791.0,business
4,39,Satellite,0,0,352542,0,363479,0.0,0,4,352542.0,0.0,business
5,39,aDSL,0,0,6215,2452,126594,0.0,0,46,6423.0,2568.0,business
6,39,Cable,396,0,260599,255403,261882,396.0,0,31,281571.0,275376.0,consumer
7,39,Fiber,10196,0,18467,17174,20688,10206.0,0,41,18898.0,17579.0,consumer
8,39,Fixed Wireless,996,0,22306,1116,136147,996.0,0,47,24427.0,1116.0,consumer
9,39,Other,0,0,37,0,95,0.0,0,2,37.0,0.0,consumer
10,39,Satellite,0,0,363479,0,365344,0.0,0,3,653447.0,0.0,consumer
11,39,aDSL,0,0,129274,51509,233329,0.0,0,41,147194.0,51713.0,consumer
12,39,2G,0,0,0,0,361011,0.0,0,4,0.0,0.0,mobile
13,39,3G,0,0,0,0,363988,0.0,0,4,0.0,0.0,mobile
14,39,4G_LTE,0,0,363087,0,363088,0.0,0,5,1362185.0,0.0,mobile
15,39,4G_NON_LTE,0,0,363096,0,363097,0.0,0,2,596142.0,0.0,mobile
0,17,Cable,0,0,3401,3386,249766,0.0,0,21,3402.0,3386.0,business
1,17,Fiber,13964,0,16439,16116,31961,15324.0,0,97,18578.0,18244.0,business
2,17,Fixed Wireless,192882,0,230518,199291,273328,197955.0,0,71,292555.0,206707.0,business
3,17,Other,8477,0,9969,9777,15210,8500.0,0,40,10236.0,9968.0,business
4,17,Satellite,0,0,437591,0,451554,0.0,0,4,437591.0,0.0,business
5,17,aDSL,0,0,9306,8079,137966,0.0,0,64,9681.0,8080.0,business
6,17,Cable,0,0,241560,240061,241919,0.0,0,19,269581.0,265971.0,consumer
7,17,Fiber,8829,0,19063,16118,21191,8856.0,0,65,19339.0,16365.0,consumer
8,17,Fixed Wireless,8202,0,230794,117355,309786,8202.0,0,73,301456.0,144374.0,consumer
9,17,Other,46,0,98,94,122,46.0,0,8,103.0,97.0,consumer
10,17,Satellite,0,0,451554,0,451554,0.0,0,3,889145.0,0.0,consumer
11,17,aDSL,0,0,172460,92992,299476,0.0,0,59,199715.0,92992.0,consumer
12,17,2G,0,0,0,0,451187,0.0,0,8,0.0,0.0,mobile
13,17,3G,0,0,0,0,451539,0.0,0,7,0.0,0.0,mobile
14,17,4G_LTE,0,0,451163,0,451164,0.0,0,9,1749936.0,0.0,mobile
15,17,4G_NON_LTE,0,0,448317,0,448318,0.0,0,4,719812.0,0.0,mobile
0,11,Cable,0,0,19,16,5075,0.0,0,5,19.0,16.0,business
1,11,Fiber,559,0,658,651,3323,800.0,0,23,1110.0,1095.0,business
2,11,Fixed Wireless,4,0,4835,4834,4836,4.0,0,5,4863.0,4841.0,business
3,11,Other,32,0,311,252,679,36.0,0,13,521.0,369.0,business
4,11,Satellite,0,0,6332,0,6332,0.0,0,3,6332.0,0.0,business
5,11,aDSL,0,0,113,20,4613,0.0,0,12,164.0,21.0,business
6,11,Cable,0,0,4935,4936,4936,0.0,0,2,8903.0,8015.0,consumer
7,11,Fiber,2784,0,2860,2860,2861,2784.0,0,2,2931.0,2931.0,consumer
8,11,Fixed Wireless,0,0,92,0,306,0.0,0,1,92.0,0.0,consumer
9,11,Other,0,0,0,0,1,0.0,0,1,1.0,1.0,consumer
10,11,Satellite,0,0,6331,0,6332,0.0,0,2,12664.0,0.0,consumer
11,11,aDSL,0,0,0,0,4600,0.0,0,2,0.0,0.0,consumer
12,11,2G,0,0,0,0,6507,0.0,0,4,0.0,0.0,mobile
13,11,3G,0,0,0,0,6507,0.0,0,4,0.0,0.0,mobile
14,11,4G_LTE,0,0,6506,0,6507,0.0,0,4,26028.0,0.0,mobile
15,11,4G_NON_LTE,0,0,6506,0,6507,0.0,0,2,13014.0,0.0,mobile
0,26,Cable,0,0,845,179,183722,0.0,0,20,845.0,179.0,business
1,26,Fiber,35764,0,40223,39837,48176,37497.0,0,57,43159.0,42667.0,business
2,26,Fixed Wireless,13,0,13043,625,91018,13.0,0,37,13185.0,625.0,business
3,26,Other,13831,0,21995,21945,30011,13861.0,0,31,24950.0,24856.0,business
4,26,Satellite,0,0,305902,0,329497,0.0,0,4,305902.0,0.0,business
5,26,aDSL,0,0,20863,18024,93211,0.0,0,42,21036.0,18026.0,business
6,26,Cable,0,0,183336,182598,184207,0.0,0,18,206374.0,205250.0,consumer
7,26,Fiber,17548,0,24206,23953,24509,18285.0,0,36,25617.0,25363.0,consumer
8,26,Fixed Wireless,13,0,30605,1444,112890,13.0,0,38,30622.0,1444.0,consumer
9,26,Other,0,0,9493,9493,9494,0.0,0,6,9619.0,9619.0,consumer
10,26,Satellite,0,0,329497,0,329885,0.0,0,3,632237.0,0.0,consumer
11,26,aDSL,0,0,100434,63750,199943,0.0,0,33,111796.0,67464.0,consumer
12,26,2G,0,0,0,0,324797,0.0,0,6,0.0,0.0,mobile
13,26,3G,0,0,0,0,327104,0.0,0,6,0.0,0.0,mobile
14,26,4G_LTE,0,0,322864,0,322865,0.0,0,7,1160281.0,0.0,mobile
15,26,4G_NON_LTE,0,0,324049,0,324050,0.0,0,2,516650.0,0.0,mobile
16,26,Undefined,0,0,0,0,9450,0.0,0,1,0.0,0.0,mobile
0,22,Cable,0,0,14210,13017,73007,0.0,0,18,14327.0,13129.0,business
1,22,Fiber,7658,0,10516,9930,35933,8197.0,0,37,11822.0,11147.0,business
2,22,Fixed Wireless,7901,0,8752,8732,43778,7901.0,0,14,8753.0,8733.0,business
3,22,Other,5,0,1950,854,26809,5.0,0,16,1964.0,861.0,business
4,22,Satellite,0,0,189692,0,204445,0.0,0,4,189692.0,0.0,business
5,22,aDSL,0,0,3421,3,22054,0.0,0,23,3422.0,3.0,business
6,22,Cable,0,0,92669,87139,92847,0.0,0,14,95993.0,90338.0,consumer
7,22,Fiber,4878,0,33485,8642,34190,4891.0,0,21,34305.0,9235.0,consumer
8,22,Fixed Wireless,0,0,38792,8719,50968,0.0,0,17,38889.0,8720.0,consumer
9,22,Other,5,0,25499,42,25722,5.0,0,6,25526.0,42.0,consumer
10,22,Satellite,0,0,204445,0,204447,0.0,0,3,394137.0,0.0,consumer
11,22,aDSL,0,0,35390,21014,91549,0.0,0,17,36681.0,21014.0,consumer
12,22,2G,0,0,0,0,203955,0.0,0,7,0.0,0.0,mobile
13,22,3G,0,0,0,0,203557,0.0,0,6,0.0,0.0,mobile
14,22,4G_LTE,0,0,203622,0,203623,0.0,0,5,751670.0,0.0,mobile
15,22,4G_NON_LTE,0,0,202934,0,202935,0.0,0,3,347396.0,0.0,mobile
0,21,Cable,0,0,6960,4038,80778,0.0,0,29,7485.0,4038.0,business
1,21,Fiber,10959,0,16876,16509,29895,13863.0,0,53,20116.0,19658.0,business
2,21,Fixed Wireless,7165,0,8327,8325,48303,7165.0,0,17,8327.0,8325.0,business
3,21,Other,5,0,468,455,7174,5.0,0,17,472.0,458.0,business
4,21,Satellite,0,0,145282,0,161672,0.0,0,4,145282.0,0.0,business
5,21,aDSL,11,0,8991,4293,27870,11.0,0,29,9020.0,4293.0,business
6,21,Cable,0,0,78032,72531,80823,0.0,0,27,79632.0,72955.0,consumer
7,21,Fiber,16290,0,22053,21621,23384,19076.0,0,31,24886.0,24444.0,consumer
8,21,Fixed Wireless,1,0,28407,301,44240,1.0,0,22,36015.0,301.0,consumer
9,21,Other,0,0,7,2,5354,0.0,0,6,7.0,2.0,consumer
10,21,Satellite,0,0,161672,0,161672,0.0,0,3,306954.0,0.0,consumer
11,21,aDSL,33,0,38078,16479,77073,33.0,0,22,55570.0,16571.0,consumer
12,21,2G,0,0,0,0,158227,0.0,0,8,0.0,0.0,mobile
13,21,3G,0,0,0,0,159983,0.0,0,8,0.0,0.0,mobile
14,21,4G_LTE,0,0,156366,0,156367,0.0,0,7,519103.0,0.0,mobile
15,21,4G_NON_LTE,0,0,156934,0,156935,0.0,0,2,210802.0,0.0,mobile
0,30,Cable,0,0,1,1,26496,0.0,0,9,1.0,1.0,business
1,30,Fiber,4113,0,4302,4284,19959,4125.0,0,29,4359.0,4336.0,business
2,30,Fixed Wireless,7,0,22329,21759,48905,7.0,0,24,24223.0,23601.0,business
3,30,Other,5,0,505,36,946,5.0,0,16,521.0,36.0,business
4,30,Satellite,0,0,125989,0,125989,0.0,0,3,125989.0,0.0,business
5,30,aDSL,0,0,4939,16,73081,0.0,0,24,4958.0,16.0,business
6,30,Cable,0,0,26167,22995,26558,0.0,0,7,28623.0,22995.0,consumer
7,30,Fiber,8727,0,17621,13848,19526,8799.0,0,19,17745.0,13939.0,consumer
8,30,Fixed Wireless,4,0,33577,30908,51051,4.0,0,25,37226.0,31067.0,consumer
9,30,Other,0,0,91,5,297,0.0,0,4,91.0,5.0,consumer
10,30,Satellite,0,0,125989,0,125989,0.0,0,3,125989.0,0.0,consumer
11,30,aDSL,27,0,23703,6992,73367,36.0,0,22,26395.0,7042.0,consumer
12,30,2G,0,0,0,0,104705,0.0,0,9,0.0,0.0,mobile
13,30,3G,0,0,0,0,119346,0.0,0,6,0.0,0.0,mobile
14,30,4G_LTE,0,0,105806,0,105807,0.0,0,7,188489.0,0.0,mobile
15,30,4G_NON_LTE,0,0,107350,0,107351,0.0,0,2,107352.0,0.0,mobile
0,4,Cable,0,0,33280,33191,58256,0.0,0,14,33300.0,33197.0,business
1,4,Fiber,3831,0,5273,5152,6869,4485.0,0,29,6110.0,5983.0,business
2,4,Fixed Wireless,54588,0,116173,67557,149164,54588.0,0,32,138233.0,77002.0,business
3,4,Other,49,0,1623,1185,3541,53.0,0,25,1733.0,1255.0,business
4,4,Satellite,0,0,237844,0,239567,0.0,0,4,237844.0,0.0,business
5,4,aDSL,1,0,987,401,109403,1.0,0,25,1114.0,401.0,business
6,4,Cable,0,0,78179,77529,78943,0.0,0,11,78784.0,78118.0,consumer
7,4,Fiber,6284,0,8380,8215,8509,6480.0,0,12,8608.0,8442.0,consumer
8,4,Fixed Wireless,5,0,35816,206,149327,5.0,0,30,36101.0,206.0,consumer
9,4,Other,0,0,2,1,4,0.0,0,3,2.0,1.0,consumer
10,4,Satellite,0,0,239567,0,241666,0.0,0,3,361506.0,0.0,consumer
11,4,aDSL,0,0,71872,42921,110007,0.0,0,18,75603.0,42923.0,consumer
12,4,2G,0,0,0,0,235207,0.0,0,7,0.0,0.0,mobile
13,4,3G,0,0,0,0,232188,0.0,0,6,0.0,0.0,mobile
14,4,4G_LTE,0,0,209887,0,209888,0.0,0,5,670254.0,0.0,mobile
15,4,4G_NON_LTE,0,0,205799,0,205800,0.0,0,3,334529.0,0.0,mobile
0,37,Cable,0,0,12030,10702,218963,0.0,0,26,12031.0,10702.0,business
1,37,Fiber,12821,0,16562,15697,30682,13426.0,0,58,18229.0,17178.0,business
2,37,Fixed Wireless,1,0,5803,3338,18238,1.0,0,18,5803.0,3338.0,business
3,37,Other,19,0,1467,1454,8600,19.0,0,26,1484.0,1465.0,business
4,37,Satellite,0,0,275037,0,288983,0.0,0,4,275037.0,0.0,business
5,37,aDSL,184,0,5652,2563,112828,184.0,0,42,5829.0,2563.0,business
6,37,Cable,0,0,218374,217091,219051,0.0,0,24,223183.0,221590.0,consumer
7,37,Fiber,17843,0,34070,32331,35873,18141.0,0,36,34946.0,33126.0,consumer
8,37,Fixed Wireless,0,0,7339,0,37231,0.0,0,19,7339.0,0.0,consumer
9,37,Other,0,0,6,3,9,0.0,0,5,6.0,3.0,consumer
10,37,Satellite,0,0,288983,0,288987,0.0,0,3,564020.0,0.0,consumer
11,37,aDSL,995,0,96745,39911,181689,995.0,0,36,114233.0,40107.0,consumer
12,37,2G,0,0,0,0,284322,0.0,0,6,0.0,0.0,mobile
13,37,3G,0,0,0,0,285131,0.0,0,6,0.0,0.0,mobile
14,37,4G_LTE,0,0,283897,0,283898,0.0,0,6,1159055.0,0.0,mobile
15,37,4G_NON_LTE,0,0,273189,0,273190,0.0,0,2,402377.0,0.0,mobile
0,32,Cable,1,0,3190,3190,16852,1.0,0,10,3197.0,3193.0,business
1,32,Fiber,1502,0,1737,1712,5001,1838.0,0,26,2189.0,2148.0,business
2,32,Fixed Wireless,26116,0,30431,30415,38389,26294.0,0,18,34494.0,34469.0,business
3,32,Other,49,0,569,508,1426,52.0,0,21,633.0,548.0,business
4,32,Satellite,0,0,83632,0,83632,0.0,0,3,83632.0,0.0,business
5,32,aDSL,0,0,546,341,23292,0.0,0,19,852.0,342.0,business
6,32,Cable,0,0,29504,29504,29740,0.0,0,7,29505.0,29505.0,consumer
7,32,Fiber,5285,0,6561,6507,6705,5784.0,0,12,7083.0,7027.0,consumer
8,32,Fixed Wireless,1373,0,33285,24275,37968,1373.0,0,14,37145.0,27745.0,consumer
9,32,Other,0,0,1,1,2,0.0,0,2,1.0,1.0,consumer
10,32,Satellite,0,0,83632,0,83632,0.0,0,3,83632.0,0.0,consumer
11,32,aDSL,0,0,20968,9517,33274,0.0,0,13,26095.0,9517.0,consumer
12,32,2G,0,0,0,0,77157,0.0,0,7,0.0,0.0,mobile
13,32,3G,0,0,0,0,79357,0.0,0,6,0.0,0.0,mobile
14,32,4G_LTE,0,0,73315,0,73316,0.0,0,6,223990.0,0.0,mobile
15,32,4G_NON_LTE,0,0,59340,0,59341,0.0,0,2,95983.0,0.0,mobile
0,9,Cable,0,0,3468,3341,51936,0.0,0,9,3491.0,3348.0,business
1,9,Fiber,20995,0,21047,21037,21245,21847.0,0,16,22175.0,22147.0,business
2,9,Fixed Wireless,0,0,2,2,5,0.0,0,2,2.0,2.0,business
3,9,Other,9,0,138,122,1229,9.0,0,15,148.0,128.0,business
4,9,Satellite,0,0,64389,0,64389,0.0,0,4,64389.0,0.0,business
5,9,aDSL,0,0,157,6,53602,0.0,0,13,161.0,7.0,business
